That's a great approach to tidying up a draft! I've removed all the `[PAUSE=X]` lines and what appears to be a full chapter's worth of content that was repeating (the portion covering their time in the cabin).

Here is the cleaned-up draft for Chapter 2, focusing on their arrival at Europa Station:

***

## Chapter 2 Draft - Cleaned

NARRATOR|"The docking collar gave a soft metallic shudder, then the hatch rotated open with a deliberate hiss."
NARRATOR|"Warm air spilled into the shuttle, carrying the faint scent of ozone and something green—hydroponic air, richer and cleaner than anything they'd breathed in days."
NARRATOR|"One by one, passengers filed out, boots clinking against the deck plating of Europa Station's arrival concourse."
NARRATOR|"And then she stepped through."
NARRATOR|"Her hair—a deep chestnut catching glints of auburn in the station lights—fell in loose waves down her back."
NARRATOR|"A cream-colored travel dress cinched at the waist and flared at the knee, the fabric floating with a grace meant for zero-g."
NARRATOR|"In the crook of one arm she clutched a small purse; the other she flung wide as she tilted her head toward the vaulted glass ceiling."
NARRATOR|"Earth loomed beyond it—luminous blues and whites, the curve so near it seemed close enough to touch."
NARRATOR|"She breathed in like she meant to swallow the sky."
NARRATOR|"A smile broke across her face, unguarded and bright, before she spun once, the hem of her dress tracing a slow comet."
NARRATOR|"Her laugh—clear, lilting, touched with the Riviera—carried across the concourse."
MARA|"Bébé, eet's beautiful. Come, hurry."
NARRATOR|"She breathed, vowels curling like ribbon."
NARRATOR|"He stepped after her in a dark travel suit, jacket easy at the shoulders, a pale shirt open at the collar."
NARRATOR|"A narrow-brimmed hat shadowed his eyes, but the grin was all warmth."
NARRATOR|"He followed her gaze upward."
NARRATOR|"Europa stretched around them like a cathedral turned inside out—ribbed beams arcing to glass that held back the black."
NARRATOR|"Overhead, gardens unfurled in terraces, green upon green."
NARRATOR|"Banners from a dozen nations lifted and fell in the recycled breeze."
JONAH|"Not as beautiful as y'are, love."
NARRATOR|"He said, cupping her hand and dipping her into a kiss that ignored the weary shuffle of passengers around them."
NARRATOR|"A pair sidestepped with a muttered sigh. The couple didn't notice."
NARRATOR|"They lingered a heartbeat longer than polite society allowed, then straightened, fingers still twined."
NARRATOR|"Together they stepped into the current of travelers."
NARRATOR|"The hum beneath their feet steadied—the pulse of maglev lines running under the deck."
NARRATOR|"Somewhere a tram whooshed past, its vibration rippling faintly through the plating."
NARRATOR|"Above, spectrum-balanced lamps tracked in slow arcs, mimicking Earth's rotation."
NARRATOR|"The place was alive: voices in a dozen accents, the chime of boarding calls, the hiss of a vendor cart steaming fresh bread."
NARRATOR|"Yeast and greenery tangled with the tang of sterilized metal, settling into something uniquely orbital."
NARRATOR|"They had arrived."
JONAH|"Left or right?"
NARRATOR|"He asked, though the overhead signs were clear."
MARA|"Left. More windows."
JONAH|"You don't know that."
MARA|"I do. I can smell the light."
NARRATOR|"She said, conspiratorial."
NARRATOR|"He laughed."
JONAH|"That's not how light works, Mara."
MARA|"It is if you're growing basil."
NARRATOR|"She tipped her chin at the terrace overhead."
MARA|"See the droop? That row gets shade on the half-hour. They'll shift the lamps."
JONAH|"Expert testimony. Remind me again why we picked Europa?"
NARRATOR|"She squeezed his hand."
MARA|"Because you wanted to see how they hide ductwork and I wanted to see how they hide roots."
JONAH|"Slur the word 'ductwork' like that again and I'm carrying you to Quarantine."
NARRATOR|"She laughed, then slowed, looking—not at the grand things, but the small: the bevel on a pressure door, how a cleaner bot tucked itself into a gap between benches, the faint condensation line under a window seam."
NARRATOR|"He watched her watching, content with the reflection of Earth in the glass and the reflection of her in his periphery."
MARA|"Your ring."
NARRATOR|"She said softly."
NARRATOR|"He looked down. His fingers had found the band without him noticing, twisting it. He let go, sheepish."
JONAH|"Still getting used to it."
MARA|"You'll dent it into a hexagon."
JONAH|"I like hexagons. Strongest packing pattern."
MARA|"You're impossible."
JONAH|"Marry an engineer, suffer the consequences."
MARA|"I married Jonah."
NARRATOR|"She said, and kissed his knuckles where they'd gone still."
NARRATOR|"Processing was a few turns ahead, marked by a sweep of frosted glass and an arc of line posts."
NARRATOR|"The queue drifted at a steady pace."
NARRATOR|"Overhead, a departure board cycled destinations: AGR-3, Medical, Dock C, Upper Gardens, Residency."
NARRATOR|"A child pressed a nose to the glass and fogged a perfect circle; his mother pulled him back with a smile and a gentle scold in Portuguese."
NARRATOR|"Mara watched the gardens on the mezzanine."
NARRATOR|"Every so often, a worker in a pale coverall reached up and pinched the tip of a leaf, testing for stress."
NARRATOR|"She smiled."
JONAH|"You're thinking about your grandmother's terrace."
MARA|"Maybe. She used to say you can taste when a plant is listening."
JONAH|"Again, not how plants work."
MARA|"She was right, though."
JONAH|"Was she right about putting mint in everything?"
MARA|"She was right about everything."
JONAH|"Except the mint."
NARRATOR|"She elbowed him, gentle."
NARRATOR|"A maintenance crew in orange vests had one panel off along the ceiling track."
NARRATOR|"A smell like hot dust threaded the air—nothing alarming, just the tang of electronics."
NARRATOR|"A tech on a ladder tapped a sensor cradle with the handle of a tool."
TECH|"Again."
NARRATOR|"He said, and someone below him flipped a switch."
NARRATOR|"The lamps along one span flickered once—twice—then steadied at a fraction brighter."
NARRATOR|"A nearby placard read, almost cheerful: 'Routine atmospheric adjustment.'"
NARRATOR|"In the queue, their line slowed."
NARRATOR|"A clerk leaned toward his terminal, frowning."
CLERK|"New protocols. Just a moment."
NARRATOR|"He told a weary man with a carryall."
PASSENGER|"Sanctions again? Berlin won't move shipments until the Pacific embargo lifts."
NARRATOR|"Someone muttered two places back in line."
NARRATOR|"Jonah caught Mara's eye and shrugged."
JONAH|"Politics follows you everywhere. Even six hundred kilometers up."
NARRATOR|"She rolled her eyes, already tugging him forward."
NARRATOR|"Mara's gaze drifted to a small knot of uniforms moving down the concourse—station security, not military."
NARRATOR|"Calm faces. No hurry."
NARRATOR|"Still, the crowd adjusted—people made space, eyes flicked and then politely didn't."
NARRATOR|"A vendor, mid-pitch, lowered his voice."
BACKGROUND_VOICE|"—told Berlin the fuel shipments are delayed again—"
NARRATOR|"Floated from somewhere behind them, cut off by the hiss of a passing cart."
JONAH|"Supply chain things. Boring station business."
NARRATOR|"Jonah said, more to fill the air than to answer anything."
NARRATOR|"Mara nodded and leaned into his shoulder, unconcerned."
NARRATOR|"The line hummed forward."
NARRATOR|"A clerk scanned their passes and stamped each one with a quiet chime."
CLERK|"Welcome to Europa. Residency sector L-3, viewport corridor. Lifts to your right."
NARRATOR|"He said, accent clipped Berlin, smile mechanical but not unkind."
MARA|"Viewport."
NARRATOR|"Mara mouthed, delighted."
JONAH|"Viewport."
NARRATOR|"Jonah echoed, already imagining how the glass was mounted, whether the pressure frames were composite or old-fashioned alloy. He kept that to himself."
